w1,w2,w3,s1,s2,eq_check
3,5,4,unsigned,signed,False
3,5,4,signed,unsigned,True
3,5,4,unsigned,unsigned,True
4,5,4,signed,signed,False
4,5,4,unsigned,signed,False
4,5,4,signed,unsigned,True
4,5,4,unsigned,unsigned,True
5,5,4,signed,signed,False
5,5,4,unsigned,signed,False
5,5,4,signed,unsigned,True
5,5,4,unsigned,unsigned,True
6,5,4,signed,signed,False
6,5,4,unsigned,signed,False
6,5,4,signed,unsigned,True
6,5,4,unsigned,unsigned,True
7,5,4,signed,signed,False
7,5,4,unsigned,signed,False
7,5,4,signed,unsigned,True
7,5,4,unsigned,unsigned,True
8,5,4,signed,signed,False
8,5,4,unsigned,signed,False
8,5,4,signed,unsigned,True
8,5,4,unsigned,unsigned,True
1,5,5,signed,signed,False
1,5,5,unsigned,signed,False
1,5,5,signed,unsigned,False
1,5,5,unsigned,unsigned,True
2,5,5,signed,signed,False
2,5,5,unsigned,signed,False
2,5,5,signed,unsigned,False
2,5,5,unsigned,unsigned,True
3,5,5,signed,signed,False
3,5,5,unsigned,signed,False
3,5,5,signed,unsigned,False
3,5,5,unsigned,unsigned,True
4,5,5,signed,signed,False
4,5,5,unsigned,signed,False
4,5,5,signed,unsigned,True
4,5,5,unsigned,unsigned,True
5,5,5,signed,signed,False
5,5,5,unsigned,signed,False
5,5,5,signed,unsigned,True
5,5,5,unsigned,unsigned,True
6,5,5,signed,signed,False
6,5,5,unsigned,signed,False
6,5,5,signed,unsigned,True
6,5,5,unsigned,unsigned,True
7,5,5,signed,signed,False
7,5,5,unsigned,signed,False
7,5,5,signed,unsigned,True
7,5,5,unsigned,unsigned,True
8,5,5,signed,signed,False
8,5,5,unsigned,signed,False
8,5,5,signed,unsigned,True
8,5,5,unsigned,unsigned,True
1,5,6,signed,signed,False
1,5,6,unsigned,signed,False
1,5,6,signed,unsigned,False
1,5,6,unsigned,unsigned,True
2,5,6,signed,signed,False
2,5,6,unsigned,signed,False
2,5,6,signed,unsigned,False
2,5,6,unsigned,unsigned,True
3,5,6,signed,signed,False
3,5,6,unsigned,signed,False
3,5,6,signed,unsigned,False
3,5,6,unsigned,unsigned,True
4,5,6,signed,signed,False
4,5,6,unsigned,signed,False
4,5,6,signed,unsigned,False
4,5,6,unsigned,unsigned,True
5,5,6,signed,signed,False
5,5,6,unsigned,signed,False
5,5,6,signed,unsigned,True
5,5,6,unsigned,unsigned,True
6,5,6,signed,signed,False
6,5,6,unsigned,signed,False
6,5,6,signed,unsigned,True
6,5,6,unsigned,unsigned,True
7,5,6,signed,signed,False
7,5,6,unsigned,signed,False
7,5,6,signed,unsigned,True
7,5,6,unsigned,unsigned,True
8,5,6,signed,signed,False
8,5,6,unsigned,signed,False
8,5,6,signed,unsigned,True
8,5,6,unsigned,unsigned,True
1,5,7,signed,signed,False
1,5,7,unsigned,signed,False
1,5,7,signed,unsigned,False
1,5,7,unsigned,unsigned,True
2,5,7,signed,signed,False
2,5,7,unsigned,signed,False
2,5,7,signed,unsigned,False
2,5,7,unsigned,unsigned,True
3,5,7,signed,signed,False
3,5,7,unsigned,signed,False
3,5,7,signed,unsigned,False
3,5,7,unsigned,unsigned,True
4,5,7,signed,signed,False
4,5,7,unsigned,signed,False
4,5,7,signed,unsigned,False
4,5,7,unsigned,unsigned,True
5,5,7,signed,signed,False
5,5,7,unsigned,signed,False
5,5,7,signed,unsigned,False
5,5,7,unsigned,unsigned,True
6,5,7,signed,signed,False
6,5,7,unsigned,signed,False
6,5,7,signed,unsigned,True
6,5,7,unsigned,unsigned,True
7,5,7,signed,signed,False
7,5,7,unsigned,signed,False
7,5,7,signed,unsigned,True
